Estimate summary,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,
0,4776.55,57318.6,USD,,,,,,
,,* Includes upfront cost,,,,,,,
,,,,,,,,,
,,,,,,,,,
Detailed Estimate,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,VPN Connection,0,567,6804,USD,,"Working days per month (22), Number of subnet associations (4)"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,0,0,USD,,
My Estimate,US East (N. Virginia),Web servers,Amazon EC2 ,0,845.7,10148.4,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (m5ad.xlarge), Pricing strategy (Compute Savings Plans 1 Year  None upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (2 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Application servers,Amazon EC2 ,0,1507.08,18084.96,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 12), Advance EC2 instance (m5ad.xlarge), Pricing strategy (Compute Savings Plans 1 Year  None upfront), Enable monitoring (disabled), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (2 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),DB,Amazon RDS for MySQL,0,1664.56,19974.72,USD,,"Storage for each RDS instance (General Purpose SSD (gp3)), Storage amount (1 TB), Quantity (2), Instance type (db.m5.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (1 TB), Total Size of Backup Processed for Export (GB) (1000 per month), General Purpose SSD (gp3) - IOPS (12000), General Purpose SSD (gp3) - Throughput (500 MiBps)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,73.73,884.76,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,S3 Standard,0,26.32,315.84,USD,,"Data returned by S3 Select (1 TB per month), Data scanned by S3 Select (1 TB per month), S3 Standard storage (1 TB per month)"
My Estimate,US East (N. Virginia),,Data Transfer,0,92.16,1105.92,USD,,"DT Inbound: Internet (0 TB per month), DT Outbound: Internet (1 TB per month)"
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,0,0,USD,,"Number of EC2 instances (6), Number of EIPs per instance (1)"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Acknowledgement,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1st change:  on the ec2-instance service I choose one-year reserve instances for the same instance type. ,,,,,,,,,
"2nd change: I reduced DB to General Purpose SSD (gp3) - IOPS (12000), General Purpose SSD (gp3)",,,,,,,,,
